city_id,縣市英文名_103,縣市全名_103,縣市名_103,縣市代碼_103
1,Lienchiang County,福建省連江縣,連江縣,9007
2,Kinmen County,福建省金門縣,金門縣,9020
3,Yilan County,臺灣省宜蘭縣,宜蘭縣,10002
6,Changhua County,臺灣省彰化縣,彰化縣,10007
7,Nantou County,臺灣省南投縣,南投縣,10008
8,Yunlin County,臺灣省雲林縣,雲林縣,10009
10,Pingtung County,臺灣省屏東縣,屏東縣,10013
11,Taitung County,臺灣省臺東縣,臺東縣,10014
12,Hualien County,臺灣省花蓮縣,花蓮縣,10015
13,Penghu County,臺灣省澎湖縣,澎湖縣,10016
14,Keelung City,臺灣省基隆市,基隆市,10017
15,Hsinchu City,臺灣省新竹市,新竹市,10018
17,Taipei City,臺北市,臺北市,63
19,New Taipei City,新北市,新北市,65
20,Taichung City,臺中市,臺中市,66
21,Tainan City,臺南市,臺南市,67
22,Taoyuan City,桃園市,桃園市,68
23,Miaoli County,臺灣省苗栗縣,苗栗縣,10005
24,Hsinchu County,臺灣省新竹縣,新竹縣,10004
25,Chiayi City,臺灣省嘉義市,嘉義市,10020
26,Chiayi County,臺灣省嘉義縣,嘉義縣,10010
27,Kaohsiung City,高雄市,高雄市,64
